,Secondary Highway,Description,Percentage Axle Weight
0,Local:Range Road 274 from Spruce Grove - 1.0 km North75,Local:East - West service road 0.5 km North of Jct. 16 from Range Road 272 - Range Road 280 (by Stony Plain),75
1,Local:The English Bay Road through the Cold Lake Indian Reserve #149B75,Local:The Gurneyville Road from SH, 657 North in the Kehewin Indian Reserve #123
