,From Highway #,To Location,Percentage Axle Weight
0,2-Berwyn100,-Blackfalds (SH 597)100,-Bluesky100
1,2-Berwyn100,-Canyon Creek100,
2,2-Berwyn100,-Carstairs (SH 581)100,
3,2-Berwyn100,-Colinton (SH 663)100,
4,2-Berwyn100,-Didsbury (SH 582)100,
5,2-Berwyn100,-Donnelly100,
6,2-Berwyn100,-Enilda100,
7,2-Berwyn100,-Faust100,
8,2-Berwyn100,-Granum (SH 519)100,
9,2-Berwyn100,-Joussard100,
10,2-Berwyn100,-Kinuso100,
11,2-Berwyn100,-Legal (SH 651)100,
12,2-Berwyn100,-Rochester (SH 661)100,
13,2-Berwyn100,-Vimy100,
14,2-Berwyn100,-Wembley100,
15,2-Berwyn100,-Whitelaw100,
16,2-Berwyn100,-Widewater100,
17,2-Berwyn100,-Woking (SH 677)100,
18,2-Berwyn100,3-Kipp100,
19,9-Beiseker100,-Craigmyle100,-Delia (SH 851)100
20,9-Beiseker100,-Irricana100,
21,9-Beiseker100,11-Benalto100,
22,9-Beiseker100,-Eckville (SH 766)100,-Leslieville (SH 761)100
23,9-Beiseker100,12-Clive75,
24,9-Beiseker100,-Tees100,13-Cadogan100
25,9-Beiseker100,-Gwynne100,-Hughenden100
26,9-Beiseker100,-Metiskow100,
27,9-Beiseker100,-Sedgewick100,
28,9-Beiseker100,14-Edgerton (SH 894)100,
29,9-Beiseker100,-Sherwood Park (SH 630)100,15-Minburn100
30,9-Beiseker100,-Ranfurly100,16-Evansburg100
31,9-Beiseker100,-Hinton/Jasper Airport100,-Islay (SH 893)100
32,9-Beiseker100,-Kitscoty (SH 897)100,
33,9-Beiseker100,17-Chauvin (SH 610)100,
34,20-Bluffton100,-Winfield100,21-Bashaw100
35,20-Bluffton100,-Carbon (SH 575)100,-Delburne100
36,20-Bluffton100,-Elnora100,
37,20-Bluffton100,-Hay Lakes100,
38,20-Bluffton100,-Huxley100,
39,20-Bluffton100,-Lousana100,
40,20-Bluffton100,-New Sarepta100,
41,20-Bluffton100,-Rockyford100,
42,20-Bluffton100,-Swalwell75,
43,20-Bluffton100,22-Rocky Rapids100,
44,23-Blackie (SH 799)100,-Carmangay100,-Nobleford (SH 519)100
45,23-Blackie (SH 799)100,27-Morrin100,
46,28-Ashmont100,-Bellis100,-Bonnyville Beach100
47,28-Ashmont100,-Glendon (SH 882)100,
48,28-Ashmont100,-Mallaig100,
49,28-Ashmont100,-Radway100,
50,28-Ashmont100,-Smoky Lake100,
51,28-Ashmont100,-St. Edouard100,
52,28-Ashmont100,-Vilna100,
53,28-Ashmont100,-Warspite100,
54,28-Ashmont100,-Waskatenau (SH 631)100,
55,28-Ashmont100,32-Peers100,
56,35-Dixonville (SH 689)100,-High Level Airport100,36-Alliance (SH 602)100
57,35-Dixonville (SH 689)100,-Galahad100,-Kikino100
58,35-Dixonville (SH 689)100,-Scandia100,
59,35-Dixonville (SH 689)100,39-Thorsby (SH 778)100,
60,41-Acadia Valley100,-Czar100,-Empress100
61,41-Acadia Valley100,-Hilda100,
62,41-Acadia Valley100,-New Brigden100,
63,41-Acadia Valley100,-Schuler100,
64,41-Acadia Valley100,43-Blue Ridge (SH 658)100,
65,41-Acadia Valley100,-Onoway100,-Rochfort Bridge100
66,41-Acadia Valley100,44-Dapp (SH 661)100,
67,41-Acadia Valley100,-Fawcett100,-Jarvie100
68,41-Acadia Valley100,-Pibroch100,
69,41-Acadia Valley100,45-Andrew (SH 855)100,
70,41-Acadia Valley100,-Clandonald100,-Derwent100
71,41-Acadia Valley100,-Dewberry100,
72,41-Acadia Valley100,-Hairy Hill100,
73,41-Acadia Valley100,47-Robb100,
74,49-Eaglesham (SH 739)100,-Girouxville (SH 744)100,-Spirit River100
75,49-Eaglesham (SH 739)100,-Tangent (SH 740)100,
76,49-Eaglesham (SH 739)100,53-Alberta Hospital100,
77,55-Plamondon (SH 858)100,-Rich Lake100,56-Big Valley (SH 661)100
78,55-Plamondon (SH 858)100,-Rowley100,61-Wrentham100
79,63-Boyle100,-Newbrook (SH 661)100,69-Fort McMurray Airport100
