,Secondary Highway,Description,Percentage Axle Weight
0,Local:127 St. From the Ellerslie Road to Anthony Henday Drive in Edmonton,75,Local:The English Bay Road through the Cold Lake Indian Reserve #149B75
1,Local:The Gurneyville Road from SH 657 North in the Kehewin Indian Reserve #123,75,Local:Oiled Roads as posted in the Calling Lake Indian Reserve #18375
